lat,long,min_temp,max_temp,elevation,isothermality,mean_temp,precip,seasonal_temp,pred_cluster,species,community,new,province,genus
39.296,-6.1,0.111263642,1.480973572,-0.428871076,-0.375440362,0.72555565,0.676545557,0.708350358,0,Hyla molleri,Extremadura,"39.296,-6.1",C�ceres,Hyla
39.942,-6.091,0.111263642,1.480973572,-0.428871076,-0.375440362,0.72555565,0.676545557,0.708350358,0,Pelobates cultripes,Extremadura,"39.942,-6.091",C�ceres,Pelobates
39.349,-6.089,0.111263642,1.480973572,-0.428871076,-0.375440362,0.72555565,0.676545557,0.708350358,0,Pelobates cultripes,Extremadura,"39.349,-6.089",C�ceres,Pelobates
39.944,-6.089,0.111263642,1.480973572,-0.428871076,-0.375440362,0.72555565,0.676545557,0.708350358,0,Pleurodeles waltl,Extremadura,"39.944,-6.089",C�ceres,Pleurodeles
39.189,-6.018,0.111263642,1.480973572,-0.428871076,-0.375440362,0.72555565,0.676545557,0.708350358,0,Hyla meridionalis,Extremadura,"39.189,-6.018",C�ceres,Hyla
39.465,-6.448,0.111263642,1.480973572,-0.428871076,-0.375440362,0.72555565,0.676545557,0.708350358,0,Podiceps cristatus,Extremadura,"39.465,-6.448",C�ceres,Podiceps
38.9,-5.883,0.111263642,1.480973572,-0.428871076,-0.375440362,0.72555565,0.676545557,0.708350358,0,Tyto alba,Extremadura,"38.9,-5.883",Badajoz,Tyto
39.005,-5.843,0.111263642,1.480973572,-0.428871076,-0.375440362,0.72555565,0.676545557,0.708350358,0,Hyla molleri,Extremadura,"39.005,-5.843",Badajoz,Hyla
39.006,-5.843,0.111263642,1.480973572,-0.428871076,-0.375440362,0.72555565,0.676545557,0.708350358,0,Hyla molleri,Extremadura,"39.006,-5.843",Badajoz,Hyla
39.82,-5.703,0.111263642,1.480973572,-0.428871076,-0.375440362,0.72555565,0.676545557,0.708350358,0,Pelobates cultripes,Extremadura,"39.82,-5.703",C�ceres,Pelobates
39.826,-5.692,0.111263642,1.480973572,-0.428871076,-0.375440362,0.72555565,0.676545557,0.708350358,0,Tachybaptus ruficollis,Extremadura,"39.826,-5.692",C�ceres,Tachybaptus
39.848,-5.679,0.111263642,1.480973572,-0.428871076,-0.375440362,0.72555565,0.676545557,0.708350358,0,Ixobrychus minutus,Extremadura,"39.848,-5.679",C�ceres,Ixobrychus
39.843,-5.684,0.111263642,1.480973572,-0.428871076,-0.375440362,0.72555565,0.676545557,0.708350358,0,Plegadis falcinellus,Extremadura,"39.843,-5.684",C�ceres,Plegadis
39.621,-6.768,0.111263642,1.480973572,-0.428871076,-0.375440362,0.72555565,0.676545557,0.708350358,0,Upupa epops,Extremadura,"39.621,-6.768",C�ceres,Upupa
39.879,-6.528,0.111263642,1.480973572,-0.428871076,-0.375440362,0.72555565,0.676545557,0.708350358,0,Fringilla coelebs,Extremadura,"39.879,-6.528",C�ceres,Fringilla
39.194,-5.644,0.111263642,1.480973572,-0.428871076,-0.375440362,0.72555565,0.676545557,0.708350358,0,Podiceps nigricollis,Extremadura,"39.194,-5.644",C�ceres,Podiceps
40.002,-5.68,0.111263642,1.480973572,-0.428871076,-0.375440362,0.72555565,0.676545557,0.708350358,0,Tachybaptus ruficollis,Extremadura,"40.002,-5.68",C�ceres,Tachybaptus
40.119,-5.895,0.111263642,1.480973572,-0.428871076,-0.375440362,0.72555565,0.676545557,0.708350358,0,Lissotriton boscai,Extremadura,"40.119,-5.895",C�ceres,Lissotriton
40.25,-5.9,0.111263642,1.480973572,-0.428871076,-0.375440362,0.72555565,0.676545557,0.708350358,0,Salamandra salamandra,Extremadura,"40.25,-5.9",C�ceres,Salamandra
40.273,-5.815,0.111263642,1.480973572,-0.428871076,-0.375440362,0.72555565,0.676545557,0.708350358,0,Bufo spinosus,Extremadura,"40.273,-5.815",C�ceres,Bufo
39.218,-7.158,0.111263642,1.480973572,-0.428871076,-0.375440362,0.72555565,0.676545557,0.708350358,0,Salamandra salamandra,Extremadura,"39.218,-7.158",Badajoz,Salamandra
39.2,-7.25,0.111263642,1.480973572,-0.428871076,-0.375440362,0.72555565,0.676545557,0.708350358,0,Salamandra salamandra,Extremadura,"39.2,-7.25",Portalegre,Salamandra
38.222,-3.974,0.111263642,1.480973572,-0.428871076,-0.375440362,0.72555565,0.676545557,0.708350358,0,Capra pyrenaica,Extremadura,"38.222,-3.974",Ja�n,Capra
38.223,-3.976,0.111263642,1.480973572,-0.428871076,-0.375440362,0.72555565,0.676545557,0.708350358,0,Capra pyrenaica,Extremadura,"38.223,-3.976",Ja�n,Capra
38.221,-3.972,0.111263642,1.480973572,-0.428871076,-0.375440362,0.72555565,0.676545557,0.708350358,0,Capra pyrenaica,Extremadura,"38.221,-3.972",Ja�n,Capra
38.225,-3.974,0.111263642,1.480973572,-0.428871076,-0.375440362,0.72555565,0.676545557,0.708350358,0,Capra pyrenaica,Extremadura,"38.225,-3.974",Ja�n,Capra
38.223,-3.979,0.111263642,1.480973572,-0.428871076,-0.375440362,0.72555565,0.676545557,0.708350358,0,Capra pyrenaica,Extremadura,"38.223,-3.979",Ja�n,Capra
