min_temp;long;lat;max_temp;elevation;isothermality;mean_temp;precip;seasonal_temp;new;community
-0.8;-4.2;41.8;29.2;866;39.7;11.5;32.6;647.9;41.8,-4.2;Castilla y Leon
-0.9;-4.1;41.8;29.2;884;39.7;11.4;32.4;650.8;41.8,-4.1;Castilla y Leon
-0.9;-4;41.8;29.1;894;39.6;11.4;31.8;651.4;41.8,-4.0;Castilla y Leon
-0.9;-3.9;41.8;29.3;877;39.7;11.5;30.4;653;41.8,-3.9;Castilla y Leon
-1;-3.8;41.8;29.2;894;39.8;11.4;28.8;652.7;41.8,-3.8;Castilla y Leon
-0.9;-3.7;41.8;29.1;888;39.9;11.4;29;649.9;41.8,-3.7;Castilla y Leon
-1;-3.6;41.8;28.9;900;39.9;11.3;27.9;649.1;41.8,-3.6;Castilla y Leon
-1.1;-3.5;41.8;28.9;910;40.1;11.3;27.5;649.4;41.8,-3.5;Castilla y Leon
-1.3;-3.4;41.8;28.5;956;39.3;11;27.8;648.8;41.8,-3.4;Castilla y Leon
-1.5;-3.3;41.8;27.9;995;38.8;10.7;27.6;644.8;41.8,-3.3;Castilla y Leon
-1.8;-3.2;41.8;27.5;1067;38.6;10.3;27.8;644.7;41.8,-3.2;Castilla y Leon
-2;-3.1;41.8;27;1100;38.3;9.9;27.8;639.2;41.8,-3.1;Castilla y Leon
-2;-3;41.8;26.7;1107;38.4;9.8;27.7;632.9;41.8,-3.0;Castilla y Leon
-2.5;-2.9;41.8;26.2;1172;38.9;9.4;26.5;627.3;41.8,-2.9;Castilla y Leon
-2.6;-2.8;41.8;26.5;1169;39.2;9.4;26.6;631.8;41.8,-2.8;Castilla y Leon
-2.7;-2.7;41.8;26.6;1171;39.5;9.5;26.1;632.4;41.8,-2.7;Castilla y Leon
-2.7;-2.6;41.8;26.8;1172;40.2;9.5;25.5;631.6;41.8,-2.6;Castilla y Leon
-2.3;-2.5;41.8;27.3;1084;40.2;10;24.8;632.7;41.8,-2.5;Castilla y Leon
-2.6;-2.4;41.8;27.8;1079;40.7;10;24.5;637.2;41.8,-2.4;Castilla y Leon
-2.7;-2.3;41.8;27.5;1120;40.4;9.8;25;633.2;41.8,-2.3;Castilla y Leon
-2.7;-2.2;41.8;27.2;1141;40.5;9.6;25.8;628.5;41.8,-2.2;Castilla y Leon
-2.5;-2.1;41.8;27.2;1107;40.5;9.7;25.9;624.1;41.8,-2.1;Castilla y Leon
-2.4;-2;41.8;27.4;1103;40.8;9.8;26;622.2;41.8,-2.0;Castilla y Leon
-3.5;-1.9;41.8;25.6;1450;40;8.1;25.5;617.6;41.8,-1.9;Castilla y Leon
-2.4;-1.8;41.8;25.8;1277;40.1;9.1;26.3;604.2;41.8,-1.8;Aragon
-0.5;-1.7;41.8;28.5;786;40.5;11.7;28.6;614.7;41.8,-1.7;Aragon
0.3;-1.6;41.8;29.3;645;40.4;12.6;28.6;621.8;41.8,-1.6;Aragon
1;-1.5;41.8;29.8;516;40.1;13.3;28.7;625.1;41.8,-1.5;Aragon
1.8;-1.4;41.8;30.9;356;39.7;14.3;26.7;638.3;41.8,-1.4;Aragon
2.1;-1.3;41.8;30.6;291;39.3;14.5;26.1;631.4;41.8,-1.3;Aragon
2.4;-1.2;41.8;30.1;240;39;14.6;26.1;620.3;41.8,-1.2;Aragon
2.4;-1.1;41.8;30.7;252;38.7;14.7;26.5;633.3;41.8,-1.1;Aragon
2.1;-1;41.8;31;329;38.5;14.5;27.5;646.3;41.8,-1.0;Aragon
2.1;-0.9;41.8;31.9;320;38.4;14.8;27.1;666.9;41.8,-0.9;Aragon
2.3;-0.8;41.8;31.8;272;38.3;15;27.3;663.1;41.8,-0.8;Aragon
1.8;-0.7;41.8;32.3;357;38;14.8;28.3;683.5;41.8,-0.7;Aragon
1.5;-0.6;41.8;32.3;428;37.6;14.5;28.6;690.5;41.8,-0.6;Aragon
1.1;-0.5;41.8;31.5;556;36.9;13.8;29.3;688.9;41.8,-0.5;Aragon
1.8;-0.4;41.8;32.2;394;37;14.7;29.9;688.7;41.8,-0.4;Aragon
2;-0.3;41.8;31.9;334;37.6;14.9;29.9;677.1;41.8,-0.3;Aragon
2.2;-0.2;41.8;31.7;285;37.5;15.1;30.4;673.5;41.8,-0.2;Aragon
1.9;-0.1;41.8;31.5;310;37.7;15;30.1;670.6;41.8,-0.1;Aragon
1.8;0;41.8;32.2;321;37.4;15;29.6;687.2;41.8,-0.0;Aragon
2;0.1;41.8;31.8;232;37.9;15.2;30.1;675.2;41.8,0.1;Aragon
1.5;0.2;41.8;31.8;307;37.8;14.8;30;684.8;41.8,0.2;Aragon
1.5;0.3;41.8;31.6;258;38.2;14.8;31;679.7;41.8,0.3;Aragon
1.4;0.4;41.8;31.5;237;38.2;14.7;30.7;679.9;41.8,0.4;Aragon
1.1;0.5;41.8;31.4;249;38.3;14.5;30.4;681.9;41.8,0.5;Cataluna
0.7;0.6;41.8;31.7;298;38.4;14.3;30.1;691.5;41.8,0.6;Cataluna
0.7;0.7;41.8;31.5;301;38.4;14.2;29;687.1;41.8,0.7;Cataluna
0.9;0.8;41.8;31.2;262;38.5;14.3;29.3;676.2;41.8,0.8;Cataluna
0.9;0.9;41.8;30.5;273;38.7;14.1;29.4;663.6;41.8,0.9;Cataluna
0.7;1;41.8;30.1;311;38.7;13.9;28.4;656.1;41.8,1.0;Cataluna
0.6;1.1;41.8;30.2;375;38.5;13.7;26.8;657.3;41.8,1.1;Cataluna
0.3;1.2;41.8;30;448;38.4;13.3;26.2;655.8;41.8,1.2;Cataluna
0.2;1.3;41.8;29.7;497;38.3;13.1;25.5;652.2;41.8,1.3;Cataluna
0.2;1.4;41.8;29.2;530;38.1;12.9;25.1;643.7;41.8,1.4;Cataluna
0.1;1.5;41.8;28.4;571;37.8;12.6;25.7;629.9;41.8,1.5;Cataluna
0.1;1.6;41.8;27.3;700;37.4;12;25.1;611.2;41.8,1.6;Cataluna
0.9;1.7;41.8;27.4;542;37.1;12.8;25.7;601.4;41.8,1.7;Cataluna
1.6;1.8;41.8;28.2;348;37.4;13.8;26.4;601;41.8,1.8;Cataluna
1.7;1.9;41.8;28.5;328;37.3;13.9;27;603.4;41.8,1.9;Cataluna
1.5;2;41.8;28.1;381;37;13.6;26.2;602.5;41.8,2.0;Cataluna
0;2.1;41.8;26.3;746;37.3;11.8;24.1;590.7;41.8,2.1;Cataluna
0.3;2.2;41.8;26.6;717;37.2;12;22.3;591.5;41.8,2.2;Cataluna
0.2;2.3;41.8;26;794;36.5;11.6;21.1;588.4;41.8,2.3;Cataluna
-0.6;2.4;41.8;24.4;1020;35.6;10.4;19.6;578.7;41.8,2.4;Cataluna
0;2.5;41.8;24.6;936;35.6;10.9;20.2;570.5;41.8,2.5;Cataluna
1.9;2.6;41.8;27.8;233;39.1;14;22.5;569;41.8,2.6;Cataluna
1.9;2.7;41.8;28.6;103;40.1;14.5;23.1;576.9;41.8,2.7;Cataluna
2;2.8;41.8;28.5;124;39.9;14.4;23.7;574.4;41.8,2.8;Cataluna
1.9;2.9;41.8;28;212;39.2;14.1;24.2;572.2;41.8,2.9;Cataluna
2.6;3;41.8;27.6;187;38.4;14.3;26;557.9;41.8,3.0;Cataluna
12.6;-18.1;27.7;26;525;48.9;18.5;81.3;254.9;27.7,-18.1;Islas Canarias
6;-8.8;41.7;23.9;90;45.1;14.1;52.4;374.7;41.7,-8.8;Asturias
5.7;-8.7;41.7;24.4;86;44.8;14.1;52.2;388;41.7,-8.7;Asturias
5;-8.6;41.7;24.6;187;43.7;13.8;52.2;406.8;41.7,-8.6;Asturias
4.6;-8.5;41.7;24.8;256;43.4;13.6;52;419.7;41.7,-8.5;Asturias
4.2;-8.4;41.7;25.4;295;43.3;13.7;51.8;436.6;41.7,-8.4;Asturias
3.6;-8.3;41.7;25;427;41.9;13.1;51;450.9;41.7,-8.3;Asturias
3.1;-8.2;41.7;24.7;569;40.3;12.5;50.6;468.3;41.7,-8.2;Asturias
2.9;-8.1;41.7;24.6;628;39.7;12.3;50.3;478.1;41.7,-8.1;Asturias
2.7;-8;41.7;25;607;40.3;12.3;50.8;485.2;41.7,-8.0;Asturias
1.1;-7.9;41.7;23.7;964;37.1;10.6;48.7;517.8;41.7,-7.9;Asturias
1.1;-7.8;41.7;24;973;36.6;10.6;48.6;526.3;41.7,-7.8;Asturias
1.5;-7.7;41.7;24.7;824;38.2;11.3;49.9;518.3;41.7,-7.7;Asturias
2.2;-7.6;41.7;25.7;638;40.2;12.3;51.9;505.8;41.7,-7.6;Asturias
2.8;-7.5;41.7;26;485;41.5;12.9;53.7;487.3;41.7,-7.5;Asturias
1.5;-7.4;41.7;25.6;743;38.9;11.7;51.5;523.7;41.7,-7.4;Asturias
2;-7.3;41.7;26.3;623;40.2;12.5;52.3;517.5;41.7,-7.3;Asturias
2.6;-7.2;41.7;26.7;500;41.4;13.1;52.7;506.4;41.7,-7.2;Asturias
2.7;-7.1;41.7;26.7;451;41.7;13.3;52.5;502.3;41.7,-7.1;Asturias
1.7;-7;41.7;26.6;604;39.9;12.5;51.6;530.4;41.7,-7.0;Asturias
-0.4;-6.9;41.7;25.3;1004;36.9;10.5;48.7;572.8;41.7,-6.9;Asturias
0.2;-6.8;41.7;26.9;752;39;11.7;50;571.7;41.7,-6.8;Asturias
0.2;-6.7;41.7;27.7;739;38.9;11.9;50.1;586.9;41.7,-6.7;Asturias
0.5;-6.6;41.7;28.1;678;39;12.3;50.1;588.1;41.7,-6.6;Asturias
0.5;-6.5;41.7;28.1;649;39.2;12.3;50.2;584.2;41.7,-6.5;Castilla y Leon
-0.5;-6.4;41.7;27.4;838;38.5;11.3;48.1;598.4;41.7,-6.4;Castilla y Leon
-0.5;-6.3;41.7;27.6;827;39.1;11.4;47.6;599.9;41.7,-6.3;Castilla y Leon
-0.4;-6.2;41.7;27.9;796;39.4;11.6;47.3;601;41.7,-6.2;Castilla y Leon
-0.1;-6.1;41.7;28.4;763;39.3;11.8;46.6;605.8;41.7,-6.1;Castilla y Leon
0;-6;41.7;28.4;782;38.8;11.8;45.5;610.8;41.7,-6.0;Castilla y Leon
0.4;-5.9;41.7;28.5;731;38.5;12.2;43.4;607.5;41.7,-5.9;Castilla y Leon
0.4;-5.8;41.7;28.8;702;39.3;12.3;41.6;610.6;41.7,-5.8;Castilla y Leon
0.3;-5.7;41.7;29.1;695;39.9;12.3;39.9;615.8;41.7,-5.7;Castilla y Leon
0.4;-5.6;41.7;29.3;685;40.2;12.5;38.4;616.6;41.7,-5.6;Castilla y Leon
0.4;-5.5;41.7;29.3;681;40.2;12.5;37.4;616.7;41.7,-5.5;Castilla y Leon
0.2;-5.4;41.7;28.9;725;39.9;12.2;35.2;616.2;41.7,-5.4;Castilla y Leon
0.1;-5.3;41.7;28.6;747;40;12;34.5;613.3;41.7,-5.3;Castilla y Leon
-0.2;-5.2;41.7;28.8;795;39.8;11.8;33.5;621.2;41.7,-5.2;Castilla y Leon
-0.5;-5.1;41.7;28.7;825;39.8;11.6;32.8;624.1;41.7,-5.1;Castilla y Leon
-0.5;-5;41.7;28.9;825;40.1;11.7;32.5;628.2;41.7,-5.0;Castilla y Leon
-0.6;-4.9;41.7;29.3;841;39.9;11.6;31.5;637.1;41.7,-4.9;Castilla y Leon
-0.3;-4.8;41.7;29.6;807;39.5;11.9;32;642.7;41.7,-4.8;Castilla y Leon
0;-4.7;41.7;30.1;722;39.8;12.4;32.4;645.4;41.7,-4.7;Castilla y Leon
-0.3;-4.6;41.7;30;779;39.5;12.1;33.5;651.1;41.7,-4.6;Castilla y Leon
-0.5;-4.5;41.7;29.7;803;39.8;11.9;33.3;649.9;41.7,-4.5;Castilla y Leon
-0.7;-4.4;41.7;29.4;823;40.1;11.8;33.4;645.6;41.7,-4.4;Castilla y Leon
-0.8;-4.3;41.7;29.3;851;39.9;11.7;33.2;648.4;41.7,-4.3;Castilla y Leon
-0.8;-4.2;41.7;29.3;876;39.7;11.5;32.8;652.1;41.7,-4.2;Castilla y Leon
-0.9;-4.1;41.7;29.2;883;39.6;11.5;32.4;652.8;41.7,-4.1;Castilla y Leon
-0.9;-4;41.7;29.2;901;39.5;11.4;31.5;654.4;41.7,-4.0;Castilla y Leon
-0.6;-3.9;41.7;29.2;794;40.1;11.9;30.4;645.8;41.7,-3.9;Castilla y Leon
-0.7;-3.8;41.7;29.1;814;39.8;11.8;29.7;647.6;41.7,-3.8;Castilla y Leon
-0.7;-3.7;41.7;29.3;843;39.5;11.7;29.3;653.7;41.7,-3.7;Castilla y Leon
-0.8;-3.6;41.7;28.9;843;39.5;11.6;28.9;649.4;41.7,-3.6;Castilla y Leon
-0.9;-3.5;41.7;28.9;870;39.3;11.4;28.4;650.9;41.7,-3.5;Castilla y Leon
-1.2;-3.4;41.7;28.7;919;39.3;11.2;27.6;652.1;41.7,-3.4;Castilla y Leon
-1.3;-3.3;41.7;28.5;952;39.3;11;27.2;652.2;41.7,-3.3;Castilla y Leon
-1.5;-3.2;41.7;28.4;979;39.3;10.9;27.1;653.5;41.7,-3.2;Castilla y Leon
-1.7;-3.1;41.7;28.1;1012;39.2;10.6;27.6;650.1;41.7,-3.1;Castilla y Leon
-1.9;-3;41.7;27.7;1023;39.2;10.4;27.9;643.3;41.7,-3.0;Castilla y Leon
-2.1;-2.9;41.7;27.5;1045;39.7;10.2;26.9;640.9;41.7,-2.9;Castilla y Leon
-2.4;-2.8;41.7;27.9;1091;39.9;10.2;25.9;651.7;41.7,-2.8;Castilla y Leon
-2.5;-2.7;41.7;27.5;1152;39.7;9.8;26.2;647.6;41.7,-2.7;Castilla y Leon
-2.4;-2.6;41.7;27.5;1119;39.8;9.9;25.3;643.5;41.7,-2.6;Castilla y Leon
-2.4;-2.5;41.7;27.2;1095;39.7;9.9;25.8;637.2;41.7,-2.5;Castilla y Leon
-2.2;-2.4;41.7;28;1019;40.4;10.4;25.1;640.2;41.7,-2.4;Castilla y Leon
-2.4;-2.3;41.7;28.3;1029;40.8;10.3;24.4;640.6;41.7,-2.3;Castilla y Leon
-2.5;-2.2;41.7;28.3;1053;41.1;10.3;24.9;639.2;41.7,-2.2;Castilla y Leon
